trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
707,False,"{'a': 0.002, 'e': 0.24365548454833486}",25,6,9.614224026750025,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
708,False,"{'a': 0.002, 'e': 0.24316866056549566}",30,12,15.345948021607645,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
709,False,"{'a': 0.002, 'e': 0.24268280925762298}",25,20,11.586328631249966,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.002, 'e': 0.2421979286813109}",20,5,-5.048544409864857,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
711,False,"{'a': 0.002, 'e': 0.24171401689703645}",20,7,3.30959348889879,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
712,False,"{'a': 0.002, 'e': 0.24123107196915192}",25,0,-2.250925409509939,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
713,False,"{'a': 0.002, 'e': 0.24074909196587688}",25,19,12.789753657779649,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.002, 'e': 0.2402680749592907}",20,13,-8.132713754780774,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
715,False,"{'a': 0.002, 'e': 0.2397880190253247}",25,17,17.43635558077603,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.002, 'e': 0.23930892224375455}",25,15,-25.3870383466189,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
717,False,"{'a': 0.002, 'e': 0.23883078269819244}",30,8,4.198959943592158,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
718,False,"{'a': 0.002, 'e': 0.23835359847607956}",30,19,11.228176768537008,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.002, 'e': 0.2378773676686784}",25,2,15.642982677533308,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
720,False,"{'a': 0.002, 'e': 0.23740208837106508}",25,0,28.28747060246504,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
721,False,"{'a': 0.002, 'e': 0.23692775868212176}",20,15,9.292973191574724,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.002, 'e': 0.2364543767045291}",25,14,23.903491695379074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.002, 'e': 0.23598194054475852}",25,16,13.507688052253819,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.002, 'e': 0.23551044831306475}",20,15,7.505541734780636,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.002, 'e': 0.23503989812347828}",30,15,25.48380910293323,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.002, 'e': 0.23457028809379765}",20,10,-40.707636666706044,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
727,False,"{'a': 0.002, 'e': 0.2341016163455822}",20,11,18.57598071011634,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.002, 'e': 0.23363388100414423}",20,11,8.86621853492759,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.002, 'e': 0.2331670801985418}",30,17,12.259202922221482,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
